Trait,Mediator,N,a (X→M),b (M→Y|X),c (total),c' (direct),ab (indirect),ab_CI_lo,ab_CI_hi,p_indirect,R²,sig,p_fdr,sig_fdr
conscientiousness,digital_pc1,27,-0.23920108627609096,0.1433658098004512,0.5515551767783631,0.5858484342174823,-0.03429325743911937,-0.2289786148996747,0.05523160931117161,0.9096,0.32359084094496504,,1.0,
conscientiousness,social_pc1,27,-0.10976788222234678,0.024681449817343454,0.5515551767783631,0.5542644072549902,-0.002709230476626919,-0.10655109106098239,0.04013959774395729,0.9046,0.3048149470663223,,1.0,
conscientiousness,activity_pc1,27,-0.3199077224447284,-0.005933877108869925,0.5515551767783631,0.5496568836671977,0.0018982931111654875,-0.1264673382556132,0.2062524635363614,0.9896,0.3042447204118188,,1.0,
conscientiousness,screen_pc1,27,-0.074410112530214,0.2414700876504666,0.5515551767783631,0.5695229931731147,-0.017967816394751857,-0.18710324456677885,0.05090599943080512,0.6542,0.36219807383494007,,1.0,
conscientiousness,proximity_pc1,27,0.4400932316497547,0.2659022982134789,0.5515551767783631,0.43453337505449624,0.11702180172386673,-0.006524274184948866,0.4787454637223909,0.2206,0.3612230431475214,,1.0,
conscientiousness,face2face_pc1,27,0.14329116142866205,-0.0881054812349435,0.5515551767783631,0.5641799135127494,-0.012624736734386244,-0.2504287518851691,0.06482469264625809,0.842,0.31181630487703993,,1.0,
conscientiousness,audio_pc1,27,-0.03986215917131192,0.011278966165359327,0.5515551767783631,0.5520047807229345,-0.0004496039445713951,-0.10668091613524101,0.05407338800272902,1.0,0.3043401259650639,,1.0,
neuroticism,mobility_pc1,27,-0.3632240051450809,0.02120818208899299,-0.444237607525566,-0.4365342866853559,-0.007703320840210202,-0.17580309049129814,0.10036171134869448,0.849,0.19773749777559124,,1.0,
neuroticism,digital_pc1,27,0.2753576230232065,0.1358552305183275,-0.444237607525566,-0.48164638087636236,0.03740877335079645,-0.0780458048109348,0.34475353603367853,0.6984,0.21440427927561534,,1.0,
neuroticism,social_pc1,27,0.020235972523174325,-0.027180530618690486,-0.444237607525566,-0.44368758305480105,-0.0005500244707651191,-0.07144480270483182,0.03667225946081916,1.0,0.19808553065783374,,1.0,
neuroticism,activity_pc1,27,-0.02852066714542232,-0.19460160631047438,-0.444237607525566,-0.44978777516511154,0.005550167639545555,-0.06804470754052777,0.24510470920662392,0.9204,0.23518603275782834,,1.0,
neuroticism,screen_pc1,27,0.03667398309694231,0.2156738573975321,-0.444237607525566,-0.4521472269262154,0.007909619400649437,-0.05672864360076936,0.1433075594776534,0.8072,0.2437997026257066,,1.0,
neuroticism,proximity_pc1,27,-0.14027306807137466,0.4027476000355422,-0.444237607525566,-0.38774296601019786,-0.056494641515368385,-0.2934376064508587,0.08380584885375096,0.4738,0.3563610367544776,,1.0,
neuroticism,face2face_pc1,27,-0.2383465246225752,-0.11996083924330055,-0.444237607525566,-0.47282985665001404,0.02859224912444812,-0.04161348458855449,0.1824249747741775,0.7044,0.21092013818200106,,1.0,
neuroticism,audio_pc1,27,0.418751672529375,0.21257592287566854,-0.444237607525566,-0.5332541307692278,0.08901652324366163,-0.062388504105692646,0.35230418104102756,0.306,0.2346116335160915,,1.0,
openness,mobility_pc1,27,-0.1456488766175165,0.1777759248116039,-0.039569517597071426,-0.01367665385862124,-0.025892863738450185,-0.24639608181984887,0.031491820716996737,0.5256,0.0324995857729079,,1.0,
openness,digital_pc1,27,0.22884585455057344,0.01296450463042786,-0.039569517597071426,-0.042536390738046555,0.0029668731409751297,-0.0935061836377699,0.29530932409872007,1.0,0.001725022766942641,,1.0,
openness,social_pc1,27,0.09927913441494296,-0.03255139068867383,-0.039569517597071426,-0.03633784370549726,-0.003231673891574172,-0.1325720441357211,0.03986582157276099,0.9336,0.002614896042489989,,1.0,
openness,activity_pc1,27,0.03044124342662831,-0.18073629634893146,-0.039569517597071426,-0.034067680003886325,-0.005501837593185056,-0.2375517100330966,0.05128362287496157,0.958,0.03420108532389188,,1.0,
openness,screen_pc1,27,0.23602214922669676,0.22072702001855896,-0.039569517597071426,-0.09166598325425582,0.052096465657184406,-0.02000288020966529,0.2982121929448697,0.3368,0.047572122355167945,,1.0,
openness,proximity_pc1,27,0.0002926341662814342,0.4571491140415319,-0.039569517597071426,-0.03970329504692524,0.00013377744985384,-0.32009080667404294,0.22673991984921452,1.0,0.21055104129541624,,1.0,
openness,face2face_pc1,27,0.3751962044668066,0.008825187651128634,-0.039569517597071426,-0.04288069450748222,0.0033111769104107957,-0.20076357393269764,0.21504201024874006,0.9986,0.0016326667674104733,,1.0,
openness,audio_pc1,27,0.045644483040601154,-0.008937626912482427,-0.039569517597071426,-0.03916156423704141,-0.0004079533600300246,-0.1360499309775891,0.11338683555121956,1.0,0.0016454614717476002,,1.0,
